"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.00806593894958496,"GLFixedEffectModels logit",2,"simple",10,1000
2,0.0117933750152588,"alpaca logit",2,"simple",10,1000
2,0.015397310256958,"fixest logit",2,"simple",10,1000
2,0.013124942779541,"GLFixedEffectModels logit",3,"simple",10,1000
2,0.0228221416473389,"alpaca logit",3,"simple",10,1000
2,0.0190978050231934,"fixest logit",3,"simple",10,1000
3,0.0105898380279541,"GLFixedEffectModels logit",2,"simple",10,1000
3,0.0173108577728271,"alpaca logit",2,"simple",10,1000
3,0.0187251567840576,"fixest logit",2,"simple",10,1000
3,0.014085054397583,"GLFixedEffectModels logit",3,"simple",10,1000
3,0.0248000621795654,"alpaca logit",3,"simple",10,1000
3,0.0194351673126221,"fixest logit",3,"simple",10,1000
4,0.00985598564147949,"GLFixedEffectModels logit",2,"simple",10,1000
4,0.0150017738342285,"alpaca logit",2,"simple",10,1000
4,0.0214440822601318,"fixest logit",2,"simple",10,1000
4,0.0134761333465576,"GLFixedEffectModels logit",3,"simple",10,1000
4,0.0175309181213379,"alpaca logit",3,"simple",10,1000
4,0.0172023773193359,"fixest logit",3,"simple",10,1000
5,0.015139102935791,"GLFixedEffectModels logit",2,"simple",10,1000
5,0.0125830173492432,"alpaca logit",2,"simple",10,1000
5,0.0160777568817139,"fixest logit",2,"simple",10,1000
5,0.0109760761260986,"GLFixedEffectModels logit",3,"simple",10,1000
5,0.0209496021270752,"alpaca logit",3,"simple",10,1000
5,0.0171840190887451,"fixest logit",3,"simple",10,1000
6,0.00785183906555176,"GLFixedEffectModels logit",2,"simple",10,1000
6,0.0123493671417236,"alpaca logit",2,"simple",10,1000
6,0.0153799057006836,"fixest logit",2,"simple",10,1000
6,0.0115280151367188,"GLFixedEffectModels logit",3,"simple",10,1000
6,0.0193600654602051,"alpaca logit",3,"simple",10,1000
6,0.0171024799346924,"fixest logit",3,"simple",10,1000
7,0.00596284866333008,"GLFixedEffectModels logit",2,"simple",10,1000
7,0.0160446166992188,"alpaca logit",2,"simple",10,1000
7,0.0159218311309814,"fixest logit",2,"simple",10,1000
7,0.011707067489624,"GLFixedEffectModels logit",3,"simple",10,1000
7,0.0193536281585693,"alpaca logit",3,"simple",10,1000
7,0.0174055099487305,"fixest logit",3,"simple",10,1000
8,0.00647401809692383,"GLFixedEffectModels logit",2,"simple",10,1000
8,0.0126619338989258,"alpaca logit",2,"simple",10,1000
8,0.015552282333374,"fixest logit",2,"simple",10,1000
8,0.0160148143768311,"GLFixedEffectModels logit",3,"simple",10,1000
8,0.021359920501709,"alpaca logit",3,"simple",10,1000
8,0.0175211429595947,"fixest logit",3,"simple",10,1000
9,0.00657486915588379,"GLFixedEffectModels logit",2,"simple",10,1000
9,0.0116851329803467,"alpaca logit",2,"simple",10,1000
9,0.0141515731811523,"fixest logit",2,"simple",10,1000
9,0.0110540390014648,"GLFixedEffectModels logit",3,"simple",10,1000
9,0.0266458988189697,"alpaca logit",3,"simple",10,1000
9,0.018610954284668,"fixest logit",3,"simple",10,1000
10,0.00703096389770508,"GLFixedEffectModels logit",2,"simple",10,1000
10,0.012089729309082,"alpaca logit",2,"simple",10,1000
10,0.0156753063201904,"fixest logit",2,"simple",10,1000
10,0.0119109153747559,"GLFixedEffectModels logit",3,"simple",10,1000
10,0.0168869495391846,"alpaca logit",3,"simple",10,1000
10,0.0155050754547119,"fixest logit",3,"simple",10,1000
11,0.0068809986114502,"GLFixedEffectModels logit",2,"simple",10,1000
11,0.013155460357666,"alpaca logit",2,"simple",10,1000
11,0.0151660442352295,"fixest logit",2,"simple",10,1000
11,0.0158720016479492,"GLFixedEffectModels logit",3,"simple",10,1000
11,0.0188684463500977,"alpaca logit",3,"simple",10,1000
