"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.0888848304748535,"pyfixest.feols",2,"simple",10,1000
2,0.00181293487548828,"FixedEffectModels.reg",2,"simple",10,1000
2,0.0059659481048584,"lfe::felm",2,"simple",10,1000
2,0.00853967666625977,"fixest::feols",2,"simple",10,1000
2,0.0899837017059326,"pyfixest.feols",3,"simple",10,1000
2,0.00223612785339355,"FixedEffectModels.reg",3,"simple",10,1000
2,0.00613498687744141,"lfe::felm",3,"simple",10,1000
2,0.00841546058654785,"fixest::feols",3,"simple",10,1000
3,0.0847370624542236,"pyfixest.feols",2,"simple",10,1000
3,0.00169181823730469,"FixedEffectModels.reg",2,"simple",10,1000
3,0.00618743896484375,"lfe::felm",2,"simple",10,1000
3,0.00826168060302734,"fixest::feols",2,"simple",10,1000
3,0.0853462219238281,"pyfixest.feols",3,"simple",10,1000
3,0.00273895263671875,"FixedEffectModels.reg",3,"simple",10,1000
3,0.00664734840393066,"lfe::felm",3,"simple",10,1000
3,0.00874185562133789,"fixest::feols",3,"simple",10,1000
4,0.0867414474487305,"pyfixest.feols",2,"simple",10,1000
4,0.00168204307556152,"FixedEffectModels.reg",2,"simple",10,1000
4,0.00615382194519043,"lfe::felm",2,"simple",10,1000
4,0.00850176811218262,"fixest::feols",2,"simple",10,1000
4,0.0868315696716309,"pyfixest.feols",3,"simple",10,1000
4,0.0023801326751709,"FixedEffectModels.reg",3,"simple",10,1000
4,0.00658988952636719,"lfe::felm",3,"simple",10,1000
4,0.00835299491882324,"fixest::feols",3,"simple",10,1000
5,0.0887715816497803,"pyfixest.feols",2,"simple",10,1000
5,0.00257396697998047,"FixedEffectModels.reg",2,"simple",10,1000
5,0.00692248344421387,"lfe::felm",2,"simple",10,1000
5,0.00967001914978027,"fixest::feols",2,"simple",10,1000
5,0.091529369354248,"pyfixest.feols",3,"simple",10,1000
5,0.00226593017578125,"FixedEffectModels.reg",3,"simple",10,1000
5,0.00778770446777344,"lfe::felm",3,"simple",10,1000
5,0.00992035865783691,"fixest::feols",3,"simple",10,1000
6,0.0886483192443848,"pyfixest.feols",2,"simple",10,1000
6,0.00177788734436035,"FixedEffectModels.reg",2,"simple",10,1000
6,0.00763773918151855,"lfe::felm",2,"simple",10,1000
6,0.00972938537597656,"fixest::feols",2,"simple",10,1000
6,0.09212327003479,"pyfixest.feols",3,"simple",10,1000
6,0.00233101844787598,"FixedEffectModels.reg",3,"simple",10,1000
6,0.00811171531677246,"lfe::felm",3,"simple",10,1000
6,0.0100295543670654,"fixest::feols",3,"simple",10,1000
7,0.088294506072998,"pyfixest.feols",2,"simple",10,1000
7,0.00181984901428223,"FixedEffectModels.reg",2,"simple",10,1000
7,0.00784397125244141,"lfe::felm",2,"simple",10,1000
7,0.00985217094421387,"fixest::feols",2,"simple",10,1000
7,0.0863656997680664,"pyfixest.feols",3,"simple",10,1000
7,0.002349853515625,"FixedEffectModels.reg",3,"simple",10,1000
7,0.00814986228942871,"lfe::felm",3,"simple",10,1000
7,0.0101313591003418,"fixest::feols",3,"simple",10,1000
8,0.0882620811462402,"pyfixest.feols",2,"simple",10,1000
8,0.00173497200012207,"FixedEffectModels.reg",2,"simple",10,1000
8,0.00782942771911621,"lfe::felm",2,"simple",10,1000
8,0.0100419521331787,"fixest::feols",2,"simple",10,1000
8,0.0936715602874756,"pyfixest.feols",3,"simple",10,1000
8,0.00330805778503418,"FixedEffectModels.reg",3,"simple",10,1000
8,0.00760507583618164,"lfe::felm",3,"simple",10,1000
8,0.0117533206939697,"fixest::feols",3,"simple",10,1000
9,0.0888161659240723,"pyfixest.feols",2,"simple",10,1000
9,0.0022580623626709,"FixedEffectModels.reg",2,"simple",10,1000
9,0.00742864608764648,"lfe::felm",2,"simple",10,1000
9,0.00977015495300293,"fixest::feols",2,"simple",10,1000
9,0.0893180370330811,"pyfixest.feols",3,"simple",10,1000
9,0.00221681594848633,"FixedEffectModels.reg",3,"simple",10,1000
9,0.00776124000549316,"lfe::felm",3,"simple",10,1000
9,0.00990819931030273,"fixest::feols",3,"simple",10,1000
10,0.0850698947906494,"pyfixest.feols",2,"simple",10,1000
10,0.00161004066467285,"FixedEffectModels.reg",2,"simple",10,1000
10,0.00723099708557129,"lfe::felm",2,"simple",10,1000
10,0.00959134101867676,"fixest::feols",2,"simple",10,1000
10,0.0888495445251465,"pyfixest.feols",3,"simple",10,1000
10,0.00231695175170898,"FixedEffectModels.reg",3,"simple",10,1000
10,0.00755929946899414,"lfe::felm",3,"simple",10,1000
10,0.00948190689086914,"fixest::feols",3,"simple",10,1000
11,0.0817000865936279,"pyfixest.feols",2,"simple",10,1000
11,0.00168895721435547,"FixedEffectModels.reg",2,"simple",10,1000
11,0.00748872756958008,"lfe::felm",2,"simple",10,1000
11,0.00963068008422852,"fixest::feols",2,"simple",10,1000
