"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.0826873779296875,"pyfixest.fepois",2,"simple",10,1000
2,0.00555801391601562,"GLFixedEffectModels Poisson",2,"simple",10,1000
2,0.0138182640075684,"alpaca Poisson",2,"simple",10,1000
2,0.0211763381958008,"fixest::fepois",2,"simple",10,1000
2,0.0829741954803467,"pyfixest.fepois",3,"simple",10,1000
2,0.0107500553131104,"GLFixedEffectModels Poisson",3,"simple",10,1000
2,0.0240352153778076,"alpaca Poisson",3,"simple",10,1000
2,0.016669750213623,"fixest::fepois",3,"simple",10,1000
3,0.0809361934661865,"pyfixest.fepois",2,"simple",10,1000
3,0.00796699523925781,"GLFixedEffectModels Poisson",2,"simple",10,1000
3,0.0188815593719482,"alpaca Poisson",2,"simple",10,1000
3,0.0192623138427734,"fixest::fepois",2,"simple",10,1000
3,0.0851833820343018,"pyfixest.fepois",3,"simple",10,1000
3,0.0202021598815918,"GLFixedEffectModels Poisson",3,"simple",10,1000
3,0.0217087268829346,"alpaca Poisson",3,"simple",10,1000
3,0.0150501728057861,"fixest::fepois",3,"simple",10,1000
4,0.0832593441009521,"pyfixest.fepois",2,"simple",10,1000
4,0.00722503662109375,"GLFixedEffectModels Poisson",2,"simple",10,1000
4,0.0157246589660645,"alpaca Poisson",2,"simple",10,1000
4,0.0148630142211914,"fixest::fepois",2,"simple",10,1000
4,0.0874772071838379,"pyfixest.fepois",3,"simple",10,1000
4,0.0109090805053711,"GLFixedEffectModels Poisson",3,"simple",10,1000
4,0.021204948425293,"alpaca Poisson",3,"simple",10,1000
4,0.0151128768920898,"fixest::fepois",3,"simple",10,1000
5,0.0801374912261963,"pyfixest.fepois",2,"simple",10,1000
5,0.00645899772644043,"GLFixedEffectModels Poisson",2,"simple",10,1000
5,0.018254280090332,"alpaca Poisson",2,"simple",10,1000
5,0.0154035091400146,"fixest::fepois",2,"simple",10,1000
5,0.0847330093383789,"pyfixest.fepois",3,"simple",10,1000
5,0.0115928649902344,"GLFixedEffectModels Poisson",3,"simple",10,1000
5,0.024287223815918,"alpaca Poisson",3,"simple",10,1000
5,0.0138096809387207,"fixest::fepois",3,"simple",10,1000
6,0.0824120044708252,"pyfixest.fepois",2,"simple",10,1000
6,0.00472187995910645,"GLFixedEffectModels Poisson",2,"simple",10,1000
6,0.0121679306030273,"alpaca Poisson",2,"simple",10,1000
6,0.0144169330596924,"fixest::fepois",2,"simple",10,1000
6,0.0794098377227783,"pyfixest.fepois",3,"simple",10,1000
